Lustelling;;;;;;;Status utgående beholdning;;;Generell informasjon;;;;;;
Antall fisk i prøvene;Lakselus, alle stadier, siste prøve;Dato for siste lusetelling;Fastsittende lakselus, siste prøve;Bevegelige lakselus, siste prøve;Kjønnsmodne hunnlus, siste prøve;Skottelus, alle stadier, siste prøve;Utgående antall;Utgående biomasse [kg];Utgående snittvekt [g];Dato;Lokalitet;Enhet;Uke;År;Offisiell lokalitets-ID;Lokalitetsnummer
20;0,00;12. mar 2015;0,00;0,00;0,00;0,00;89 862;17 011;189,30;12.03.2015;Ørnøya II;Ø03;2015/11;2015;24696;24696
20;0,00;24. mar 2015;0,00;0,00;0,00;0,00;121 409;15 517;127,80;24.03.2015;Ørnøya II;Ø02;2015/13;2015;24696;24696
20;0,00;25. mar 2015;0,00;0,00;0,00;0,00;86 360;18 239;211,20;25.03.2015;Ørnøya II;Ø03;2015/13;2015;24696;24696
20;0,00;16. mar 2015;0,00;0,00;0,00;0,00;87 824;16 956;193,10;16.03.2015;Ørnøya II;Ø03;2015/12;2015;24696;24696
18;0,00;14. mar 2015;0,00;0,00;0,00;0,00;141 698;27 291;192,60;14.03.2015;Ørnøya II;Ø04;2015/11;2015;24696;24696
20;0,00;24. mar 2015;0,00;0,00;0,00;0,00;141 310;29 809;210,90;24.03.2015;Ørnøya II;Ø04;2015/13;2015;24696;24696
20;0,00;16. mar 2015;0,00;0,00;0,00;0,00;141 638;27 552;194,50;16.03.2015;Ørnøya II;Ø04;2015/12;2015;24696;24696
20;0,00;30. mar 2015;0,00;0,00;0,00;0,05;140 967;31 475;223,30;30.03.2015;Ørnøya II;Ø04;2015/14;2015;24696;24696
20;0,15;30. mar 2015;0,15;0,00;0,00;0,10;85 632;18 836;220,00;30.03.2015;Ørnøya II;Ø03;2015/14;2015;24696;24696
20;0,00;09. mar 2015;0,00;0,00;0,00;0,00;133 678;33 439;250,10;09.03.2015;Rataren I;R07;2015/11;2015;28636;28636
20;0,05;24. mar 2015;0,05;0,00;0,00;0,00;149 317;12 560;84,10;24.03.2015;Rataren I;R01;2015/13;2015;28636;28636
20;0,25;30. mar 2015;0,15;0,10;0,00;0,00;132 998;38 414;288,80;30.03.2015;Rataren I;R07;2015/14;2015;28636;28636
20;0,05;16. mar 2015;0,05;0,00;0,00;0,00;149 349;12 198;81,70;16.03.2015;Rataren I;R01;2015/12;2015;28636;28636
20;0,05;24. mar 2015;0,05;0,00;0,00;0,00;133 325;36 240;271,80;24.03.2015;Rataren I;R07;2015/13;2015;28636;28636
20;0,10;16. mar 2015;0,10;0,00;0,00;0,00;133 579;35 892;268,70;16.03.2015;Rataren I;R07;2015/12;2015;28636;28636
20;0,00;02. mar 2015;0,00;0,00;0,00;0,00;149 468;10 993;73,60;02.03.2015;Rataren I;R01;2015/10;2015;28636;28636
20;0,05;30. mar 2015;0,05;0,00;0,00;0,00;149 275;13 395;89,70;30.03.2015;Rataren I;R01;2015/14;2015;28636;28636
16;0,00;09. mar 2015;0,00;0,00;0,00;0,00;149 401;11 369;76,10;09.03.2015;Rataren I;R01;2015/11;2015;28636;28636
20;0,00;02. mar 2015;0,00;0,00;0,00;0,00;133 833;32 574;243,40;02.03.2015;Rataren I;R07;2015/10;2015;28636;28636
20;0,00;24. mar 2015;0,00;0,00;0,00;0,00;164 661;15 063;91,50;24.03.2015;Rataren II;R08;2015/13;2015;31959;31959
40;0,00;09. mar 2015;0,00;0,00;0,00;0,00;165 683;19 184;115,80;09.03.2015;Rataren II;R13;2015/11;2015;31959;31959
20;0,00;02. mar 2015;0,00;0,00;0,00;0,00;180 128;17 767;98,60;02.03.2015;Rataren II;R12;2015/10;2015;31959;31959
20;0,00;17. mar 2015;0,00;0,00;0,00;0,00;138 460;28 540;206,10;17.03.2015;Rataren II;R15;2015/12;2015;31959;31959
20;0,10;24. mar 2015;0,10;0,00;0,00;0,00;178 918;19 262;107,70;24.03.2015;Rataren II;R12;2015/13;2015;31959;31959
20;0,00;17. mar 2015;0,00;0,00;0,00;0,00;164 742;14 825;90,00;17.03.2015;Rataren II;R08;2015/12;2015;31959;31959
20;0,00;17. mar 2015;0,00;0,00;0,00;0,00;164 539;19 722;119,90;17.03.2015;Rataren II;R13;2015/12;2015;31959;31959
20;0,00;17. mar 2015;0,00;0,00;0,00;0,00;178 983;19 005;106,20;17.03.2015;Rataren II;R12;2015/12;2015;31959;31959
10;0,00;09. mar 2015;0,00;0,00;0,00;0,00;138 667;26 268;189,40;09.03.2015;Rataren II;R15;2015/11;2015;31959;31959
20;0,00;02. mar 2015;0,00;0,00;0,00;0,00;138 960;25 841;186,00;02.03.2015;Rataren II;R15;2015/10;2015;31959;31959
20;0,00;24. mar 2015;0,00;0,00;0,00;0,00;137 105;32 240;235,10;24.03.2015;Rataren II;R11;2015/13;2015;31959;31959
20;0,00;09. mar 2015;0,00;0,00;0,00;0,00;137 598;29 414;213,80;09.03.2015;Rataren II;R11;2015/11;2015;31959;31959
20;0,00;02. mar 2015;0,00;0,00;0,00;0,00;137 700;28 909;209,90;02.03.2015;Rataren II;R11;2015/10;2015;31959;31959
20;0,05;30. mar 2015;0,05;0,00;0,00;0,00;178 586;20 267;113,50;30.03.2015;Rataren II;R12;2015/14;2015;31959;31959
20;0,10;24. mar 2015;0,10;0,00;0,00;0,00;163 177;19 744;121,00;24.03.2015;Rataren II;R13;2015/13;2015;31959;31959
20;0,05;24. mar 2015;0,05;0,00;0,00;0,00;138 251;28 716;207,70;24.03.2015;Rataren II;R15;2015/13;2015;31959;31959
10;0,20;30. mar 2015;0,10;0,10;0,00;0,00;138 101;30 334;219,70;30.03.2015;Rataren II;R15;2015/14;2015;31959;31959
20;0,05;17. mar 2015;0,05;0,00;0,00;0,00;137 280;31 973;232,90;17.03.2015;Rataren II;R11;2015/12;2015;31959;31959
20;0,00;02. mar 2015;0,00;0,00;0,00;0,00;166 757;13 584;81,50;02.03.2015;Rataren II;R08;2015/10;2015;31959;31959
20;0,00;09. mar 2015;0,00;0,00;0,00;0,00;164 892;13 799;83,70;09.03.2015;Rataren II;R08;2015/11;2015;31959;31959
20;0,05;30. mar 2015;0,05;0,00;0,00;0,00;136 898;34 097;249,10;30.03.2015;Rataren II;R11;2015/14;2015;31959;31959
1 558;0,33;31. mar 2015;0,05;0,21;0,06;0,01;3 349 839;4 235 827;1 264,50;;;;;;12394, 13886, 14042, 15375, 24115, 24196, 24696, 28636, 31959;12394, 13886, 14042, 15375, 24115, 24196, 24696, 28636, 31959
